_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,minDistance
5062167,2017-06-21 13:38:03.867,CA,ON,Toronto,43.70280,-79.38770,POI3,503.2523477217081
5015231,2017-06-21 17:34:46.207,CA,ON,Brampton,43.71470,-79.70140,POI3,525.5191702378391
5178530,2017-06-21 04:46:12.163,CA,ON,Toronto,43.72640,-79.39780,POI3,502.8517825792752
5312713,2017-06-21 13:55:51.153,CA,ON,North York,43.75250,-79.44710,POI3,505.2011237441658
4695343,2017-06-21 02:11:09.223,CA,ON,North York,43.76894,-79.43467,POI3,503.5256920569733
5332200,2017-06-21 02:57:11.947,CA,ON,Thornhill,43.83950,-79.38310,POI3,496.5050362704423
5283729,2017-06-21 10:54:18.883,CA,ON,Markham,43.88000,-79.25430,POI3,485.2361586677687
5196027,2017-06-21 19:47:37.247,CA,ON,Oshawa,43.88940,-78.87660,POI3,457.2802567123761
4594293,2017-06-21 03:03:30.790,CA,ON,Ajax,43.89590,-79.03440,POI3,468.4465313120997
4968011,2017-06-21 12:32:12.210,CA,ON,Markham,43.90991,-79.25684,POI3,484.07445345392534
5519812,2017-06-21 12:15:15.260,CA,ON,Frankford,44.19455,-77.59680,POI3,350.362191121815
4569392,2017-06-21 09:01:53.000,CA,ON,Kingston,44.25850,-76.48970,POI3,269.8253688681153
5548883,2017-06-21 11:17:38.053,CA,ON,Ottawa,45.34580,-75.79040,POI3,174.71315881890274
4858120,2017-06-21 21:23:45.897,CA,ON,Ottawa,45.38780,-75.65890,POI3,163.9683569198519
4835415,2017-06-21 07:21:55.070,CA,ON,Ottawa,45.40230,-75.73290,POI3,169.56315395066545
4851141,2017-06-21 06:23:15.893,CA,ON,Ottawa,45.41770,-75.69770,POI3,166.6756793679813
4788582,2017-06-21 08:17:46.193,CA,ON,Ottawa,45.41972,-75.68723,POI3,165.8425625155321
5478105,2017-06-21 07:11:15.493,CA,ON,Ottawa,45.44550,-75.68940,POI3,165.80250495474036
5355371,2017-06-21 19:59:16.577,CA,ON,Ottawa,45.44550,-75.68940,POI3,165.80250495474036
4573277,2017-06-21 09:01:57.777,CA,ON,Renfrew,45.47160,-76.68480,POI3,243.2090644008531
4559939,2017-06-21 12:01:48.967,CA,ON,Sudbury,46.51450,-80.94480,POI3,580.3187622904667
5370916,2017-06-21 02:00:16.213,CA,ON,Thunder Bay,48.38034,-89.25186,POI3,1230.2572778233837
5025540,2017-06-21 13:35:32.403,CA,ON,Thunder Bay,48.39140,-89.26200,POI3,1231.19200230315
5332307,2017-06-21 14:57:14.867,CA,QC,Montréal,45.49780,-73.57980,POI3,2.8597579672268263
5337808,2017-06-21 22:57:49.133,CA,QC,Montréal,45.49780,-73.57980,POI3,2.8597579672268263
5216179,2017-06-21 05:49:11.877,CA,QC,Saint-Laurent,45.50381,-73.68475,POI3,9.463897193891754
5109345,2017-06-21 11:41:41.800,CA,QC,Laval,45.57970,-73.82049,POI3,20.846731876033747
4871130,2017-06-21 04:24:56.200,CA,QC,Sainte-Thérèse,45.63780,-73.84140,POI3,25.031500661187554
5325782,2017-06-21 21:56:40.147,CA,QC,Sainte-Foy,46.78230,-71.28820,POI3,224.63595326060246
4895265,2017-06-21 22:27:02.643,CA,SK,Cypress Hills Park,49.92670,-109.48200,POI1,487.82462970428116
4576859,2017-06-21 11:02:08.340,CA,SK,Regina,50.43300,-104.59400,POI1,699.8888355780418
5598451,2017-06-21 09:21:22.180,CA,SK,Regina,50.45526,-104.63874,POI1,695.8821951239181
4838613,2017-06-21 07:22:11.647,CA,SK,Aberdeen,52.29760,-106.21400,POI1,506.7801680287387
4722111,2017-06-21 16:13:25.570,CA,AB,Lethbridge,49.68360,-112.83400,POI1,431.97918968307266
4720850,2017-06-21 01:13:15.500,CA,AB,Calgary,50.87401,-113.98432,POI1,299.1578475431248
4790266,2017-06-21 11:17:56.130,CA,AB,Calgary,50.91500,-114.06000,POI1,295.2648733809846
5353188,2017-06-21 09:59:07.373,CA,AB,Calgary,50.95050,-113.94700,POI1,290.4176213720955
5403233,2017-06-21 20:03:19.467,CA,AB,Calgary,50.95050,-113.94700,POI1,290.4176213720955
5185651,2017-06-21 22:46:41.687,CA,AB,Calgary,50.95050,-113.94700,POI1,290.4176213720955
4985228,2017-06-21 18:33:20.830,CA,AB,Calgary,50.97220,-114.06200,POI1,288.9749366377607
4543812,2017-06-21 19:01:22.147,CA,AB,Calgary,51.03670,-113.98500,POI1,281.1846981546119
4886228,2017-06-21 06:26:14.157,CA,AB,Calgary,51.04860,-113.96800,POI1,279.73241528330146
5091802,2017-06-21 17:40:26.953,CA,AB,Calgary,51.04860,-113.96800,POI1,279.73241528330146
4594383,2017-06-21 13:03:31.457,CA,AB,Calgary,51.04940,-113.95640,POI1,279.55263054643495
5611205,2017-06-21 10:22:38.753,CA,AB,Calgary,51.05300,-114.16100,POI1,281.08911981933807
4679085,2017-06-21 19:09:44.050,CA,AB,Calgary,51.08180,-113.95900,POI1,275.9920088129032
4740375,2017-06-21 10:14:39.447,CA,AB,Calgary,51.08230,-113.95780,POI1,275.92725690907577
